name ,latitude,longitude
District Kashmore,28.4482,69.5857
District Shikarpur,27.9709,68.6201
District Umerkot,25.4737,69.955
District Matiari,25.7519,68.477
District Tando Allahyar,25.4351,68.7632
District Tando Muhammad Khan,25.0311,68.477
District Sujawal,24.6042,68.0776
District Thatta,24.5457,67.9524
District Jamshoro,25.6251,67.9524
District Sukkur,27.4954,69.0016
District Khairpur,26.882,69.097
District Larkana,27.4993,68.1908
District Ghotki,27.7635,69.5738
District Naushahero feroze,26.8058,68.0478
District Kamber Shahdadkot,27.5859,68.006
District Dadu,26.6383,67.5709
District Mirpurkhas,25.1827,69.1924
District Tharparkar,24.8777,70.2408
District Jacobabad,28.3274,68.6201
District Badin,24.6605,68.7155
District Shaheed Benazir Abad,26.2988,68.2385
District Sanghar,25.8577,69.4785
District Hyderabad,25.3016,68.477
District Karachi East,24.8508,67.1094
District Karachi South,25.1072,67.2371
District Karachi Keamari,24.8226,66.9821
District Karachi West,24.9713,66.9511
District Karachi Malir,24.8937,67.2163
District Karachi korangi,24.8387,67.1209
District Karachi Central,24.9539,67.0579
